ingredient_name,suggested_bls_entry,bls_code,category,notes
Eier,Hühnereier Frischei (gekocht Wasser) durchschnittlich,5001,Eier und Eiprodukte,Basic ingredient - most common unmatched (86x). Use average for mixed cooking methods.
Mehl,Weizenmehl ausgelöst aus Getreide,20004,Getreide und Getreideprodukte,Generic wheat flour - most common (78x). Specify type if recipe indicates rye or other grains.
Möhren,Karotte Basismenge,11018,Gemüse und Gemüseprodukte,Root vegetable - common (72x). Both Möhren and Karotten refer to the same ingredient.
Koriander,Koriander getrocknet,1030,Gewürze und Gewürzmischungen,Ground coriander common in curry recipes (68x). May need "Koriander gemahlen" variant.
Ingwer,Ingwer,11134,Gemüse und Gemüseprodukte,Root vegetable used as spice (60x). Often fresh in recipes; preserved/dried variants available.
rote Paprika,Paprika rot Rohrohstoff Basismenge,11108,Gemüse und Gemüseprodukte,Fresh red bell pepper (57x). Differentiate from Paprika edelsüß (spice powder).
Speisestärke,Kartoffelstärke,14041,Weitere Lebensmittel,Thickening agent (53x). May also be corn starch - check context.
Champignons,Champignon kultiviert (Zuchtchampignon),11065,Gemüse und Gemüseprodukte,Fresh cultivated mushroom (53x). Differentiate from canned versions.
Crème fraîche,Crème fraîche,6016,Milch und Milchprodukte,French sour cream (51x). Higher fat content than regular sour cream.
Paprika edelsüß,Paprika edelsüß gemahlen,1018,Gewürze und Gewürzmischungen,Mild paprika powder (44x). Differentiate from sharp "Paprika rosenscharf".
Ei,Hühnereier Frischei (gekocht Wasser) durchschnittlich,5001,Eier und Eiprodukte,Singular form of Eier (44x). Same mapping as Eier.
Oregano,Oregano getrocknet,1033,Gewürze und Gewürzmischungen,Dried oregano (43x). Check if fresh needed in recipes.
Senf,Senf Tafelsenf mittelscharf,4039,Saucen und Würzmittel,Mustard condiment (39x). May vary by type (mild/sharp).
Kartoffeln,Kartoffeln mehlige roh Basismenge,11143,Gemüse und Gemüseprodukte,Potatoes (39x). Specify if starchy vs. waxy type matters for recipe.
Erbsen,Erbse grün reife frische,11042,Gemüse und Gemüseprodukte,Green peas (38x). Differentiate from frozen vs. fresh.
Schnittlauch,Schnittlauch roh,11100,Gemüse und Gemüseprodukte,Chives - fresh herb (36x). Often used as garnish.
Muskat,Muskatnuss gemahlen,1031,Gewürze und Gewürzmischungen,Ground nutmeg (34x). Powdered form most common in recipes.
Karotten,Karotte Basismenge,11018,Gemüse und Gemüseprodukte,Same as Möhren (33x). Both terms for orange root vegetable.
Thymian,Thymian getrocknet,1032,Gewürze und Gewürzmischungen,Dried thyme (32x). Often used in Mediterranean dishes.
Porree,Lauch (Porree) Basismenge,11044,Gemüse und Gemüseprodukte,Leek vegetable (32x). Mild onion-like flavor.
Nudeln,Spaghettiware Weizen Trockennudeln,20078,Getreide und Getreideprodukte,Generic pasta (31x). Specify type if known (spaghetti, penne, etc.).
rote Chilischote,Chili rot frische,11114,Gemüse und Gemüseprodukte,Fresh red chili pepper (29x). Heat level varies by variety.
Feta,Schafskäse Feta,6066,Milch und Milchprodukte,Greek feta cheese (26x). Used in Mediterranean dishes.
Curry,Currypulver,1021,Gewürze und Gewürzmischungen,Curry spice blend (26x). Composition varies - note if specific type indicated.
Dill,Dill getrocknet,1034,Gewürze und Gewürzmischungen,Dried dill herb (25x). May be fresh in some recipes.
Chiliflocken,Chili getrocknet geschrotet,1012,Gewürze und Gewürzmischungen,Dried red chili flakes (24x). Standard hot spice.
Brokkoliröschen,Broccoli roh Basismenge,11038,Gemüse und Gemüseprodukte,Broccoli florets (23x). Cut piece of florets.
Babyspinat,Spinat roh Basismenge,11053,Gemüse und Gemüseprodukte,Young tender spinach (23x). Milder than mature spinach.
Pinienkerne,Kiefer-Pinienkerne,7049,Nüsse und Nussprodukte,Pine nuts (22x). Often toasted in recipes.
Risottoreis,Reis Risotto Arborio,20022,Getreide und Getreideprodukte,Arborio short-grain rice (22x). Specific variety for creamy risotto.
Spaghetti,Spaghettiware Weizen Trockennudeln,20078,Getreide und Getreideprodukte,Spaghetti pasta (22x). Specific pasta shape.
Linguine,Bandnudeln Weizen Trockennudeln,20077,Getreide und Getreideprodukte,Flat ribbon pasta (20x). Similar to fettuccine.
Sesam,Sesam,7048,Nüsse und Nussprodukte,Sesame seeds (19x). May be toasted or raw.
