ingredient_name,frequency,raw_examples,bls_rank,bls_entry_name,match_score,approve
möhren,72,120 g Möhren,1,Karotten-/Möhrenpüree,0.644,
möhren,72,120 g Möhren,2,"Karotten/Möhren, gekocht",0.6,
möhren,72,120 g Möhren,3,Mohn,0.6,
paprika edelsüß,46,½ TL Paprika edelsüß,1,Paprikacremesuppe,0.625,
paprika edelsüß,46,½ TL Paprika edelsüß,2,Aprikoseneis,0.593,
paprika edelsüß,46,½ TL Paprika edelsüß,3,Paprikaspeckwurst,0.562,
chilischote,35,"1 rote Chilischote, frisch",1,Schellfisch roh,0.615,
chilischote,35,"1 rote Chilischote, frisch",2,Chili sin carne,0.615,
chilischote,35,"1 rote Chilischote, frisch",3,Hirse Schrot,0.609,
karotten,33,150 g Karotten,1,Karottensuppe,0.962,
karotten,33,150 g Karotten,2,Karottencremesuppe,0.815,
karotten,33,150 g Karotten,3,Karottensaftschorle,0.793,
"erbsen, tk",31,"150 g Erbsen, TK",1,"Erbse grün, roh",0.64,
"erbsen, tk",31,"150 g Erbsen, TK",2,"Erbse grün, gekocht",0.621,
"erbsen, tk",31,"150 g Erbsen, TK",3,Erbse reif,0.6,
curry,26,½ TL Curry,1,Lammcurry,0.914,
curry,26,½ TL Curry,2,Curryreis,0.914,
curry,26,½ TL Curry,3,Currybratwurst,0.726,
kreuzkümmel (cumin),24,"1 TL Kreuzkümmel (Cumin), gemahlen",1,Fruchtgummi (Gummibonbon),0.5,
kreuzkümmel (cumin),24,"1 TL Kreuzkümmel (Cumin), gemahlen",2,Kaffeecreme (mit Gelatine),0.489,
kreuzkümmel (cumin),24,"1 TL Kreuzkümmel (Cumin), gemahlen",3,Kümmelwurst (Rohwurst),0.488,
brokkoliröschen,23,100 g Brokkoliröschen,1,Markklößchen,0.667,
brokkoliröschen,23,100 g Brokkoliröschen,2,Brätklößchen,0.667,
brokkoliröschen,23,100 g Brokkoliröschen,3,Leberklößchen,0.643,
pinienkerne,22,30 g Pinienkerne,1,Pinienkern,0.952,
risottoreis,22,320 g Risottoreis,1,Leberrisotto/Leberreis,0.667,
