link--alt href,core-tile__image src,core-tile__description-text,core-rating__counter,core-rating__label,core-tile__description-subline
https://cookidoo.de/recipes/recipe/de-DE/r468908,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/164F2397-8481-4DBD-A5D0-2790F2DA079B/Derivates/fb0f8cb6-b0c0-4ad4-8ed9-a20936dad4d0,Bratapfelpfännchen,4.4,-63,15 Min
https://cookidoo.de/recipes/recipe/de-DE/r793780,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/5a8bfb857ac623dc3cce1387ee18f012/Derivates/ee445f656122b0a1d492f692df45cc0b3cbb18ea,Kürbis-Mac-and-Cheese-Pfännchen,4.6,-152,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r84246,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/BDBD98FD-D555-4AD9-8BF2-421FCC660B16/Derivates/75D06C49-5509-4EA0-8B1A-E707C7D176F3,Käsefondue,4.1,-522,15 Min
https://cookidoo.de/recipes/recipe/de-DE/r908632,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/ca5588d21f4acea60f23000f7873c349/Derivates/1e25435b6885338cc9f8e4aa5a57dfe9e8433540,Cremiger Feta-Dip,4.2,-82,5 Min
https://cookidoo.de/recipes/recipe/de-DE/r450831,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/0DDEF196-2FDC-4830-98B7-5799CBFAEDE3/Derivates/c9877347-b32b-4321-9c82-bf9bc40c6a65,Herzhafte Knusperstangen,4.6,(1.6K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r451188,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/5a08696b-4daf-48fe-8e6f-31b88b6e8082/Derivates/a1fcd0f8-f0b7-4a88-9a87-89a38069e38b,One Pot Spätzle in Champignon-Speck-Sauce,4.2,-486,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r807904,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/676b981b58c5b95ef9b96e683c49d616/Derivates/21907ef331de9f8b2aa265cd2e068af1c5e561fe,Porree-Hackfleisch-Suppe,4.2,-568,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r45547,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/a14080f436d41cc25337df0417f12a62/Derivates/71c86714a5491c51459bdd0999aa8a8c13b74cbf,Frikadellen,4.6,(3.4K),25 Min
https://cookidoo.de/recipes/recipe/de-DE/r257098,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/3f06e5b0-8a85-47e6-8d9e-116f42a1f709/Derivates/c8ed6e5f-93f0-479a-b24c-5fc738754ee5,Gyros-Frikadellen mit Zaziki,4.6,-605,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r15604,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/AEBA65AB-2A15-47CA-95A7-89AFB24DD6BB/Derivates/D9888F99-C1F3-4309-93C0-51F64A6EDD22,Schinken-Zwiebel-Brötchen,4.8,(2.5K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r87717,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/86463A20-2DD7-4C99-A0D8-5B7D1F3CCB3A/Derivates/1D1C5AAB-2A91-4B06-BF0B-AB378F7436AD,Rindfleisch-Patties (mediterran),4.4,-252,30 Min
https://cookidoo.de/recipes/recipe/de-DE/r87716,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/E736EFDF-A5D8-49C4-BF08-001221929B92/Derivates/C94DF307-5498-4BD0-9CC4-611DEBCACF7F,Hähnchen-Patties,4.7,(1.7K),30 Min
https://cookidoo.de/recipes/recipe/de-DE/r778807,https://assets.tmecosys.com/image/upload/t_web_shared_recipe_221x240/img/recipe/ras/Assets/07351257018cd071acc9e299dac7f52b/Derivates/31ad3d2e1a3201ab8d1b9bf1724acda273bbc83f,Gyros-Paprika-Suppe,4.3,-555,30 Min
