original,parsed_name,recipe_name,recipe_idx
1 - 2 Tropfen Bittermandelaroma,- 2 Tropfen Bittermandelaroma,Bratapfelpfännchen,0
1 TL Vanilleextrakt,Vanilleextrakt,Bratapfelpfännchen,0
¼ TL Zimt,Zimt,Bratapfelpfännchen,0
40 g Mini-Marshmallows,Mini-Marshmallows,Bratapfelpfännchen,0
150 g Hörnchennudeln,Hörnchennudeln,Kürbis-Mac-and-Cheese-Pfännchen,1
100 g Hokkaido-Kürbis,Hokkaido-Kürbis,Kürbis-Mac-and-Cheese-Pfännchen,1
10 g Mehl,Mehl,Kürbis-Mac-and-Cheese-Pfännchen,1
70 g Raclettekäse,Raclettekäse,Kürbis-Mac-and-Cheese-Pfännchen,1
600 g Gruyère,Gruyère,Käsefondue,2
200 g Emmentaler,Emmentaler,Käsefondue,2
20 g Speisestärke,Speisestärke,Käsefondue,2
½ TL Muskat,Muskat,Käsefondue,2
½ TL Paprika edelsüß,Paprika edelsüß,Käsefondue,2
½ frische Chili,frische Chili,Cremiger Feta-Dip,3
400 g Feta,Feta,Cremiger Feta-Dip,3
1 TL Paprika edelsüß,Paprika edelsüß,Cremiger Feta-Dip,3
100 g Griechischer Joghurt (10% Fett),Griechischer Joghurt,Cremiger Feta-Dip,3
1 Pck. Blätterteig,Pck. Blätterteig,Herzhafte Knusperstangen,4
120 g Gouda,Gouda,Herzhafte Knusperstangen,4
50 g Putenbrust-Aufschnitt,Putenbrust-Aufschnitt,Herzhafte Knusperstangen,4
75 g Speckwürfel,Speckwürfel,One Pot Spätzle in Champignon-Speck-Sauce,5
"250 g Champignons, frisch",Champignons,One Pot Spätzle in Champignon-Speck-Sauce,5
"1 TL Thymian, getrocknet",Thymian,One Pot Spätzle in Champignon-Speck-Sauce,5
"1 Lorbeerblatt, getrocknet",orbeerblatt,One Pot Spätzle in Champignon-Speck-Sauce,5
"300 g Spätzle, frisch",Spätzle,One Pot Spätzle in Champignon-Speck-Sauce,5
250 g Champignons,Champignons,Porree-Hackfleisch-Suppe,6
250 g Porree,Porree,Porree-Hackfleisch-Suppe,6
200 g Kräuterschmelzkäse,Kräuterschmelzkäse,Porree-Hackfleisch-Suppe,6
2 EL Paniermehl,Paniermehl,Frikadellen,7
1 Ei,Ei,Frikadellen,7
1 TL Paprika edelsüß,Paprika edelsüß,Frikadellen,7
1 TL Senf,Senf,Frikadellen,7
½ Bund Koriander,Koriander,Gyros-Frikadellen mit Zaziki,8
